Segunda,Terca,Quarta,Quinta,Sexta,Sabado,Domingo,idade,genero,trabalha,trabalhaInstagram,videosLongos,moraSo,Semestre,streamingDiario,acesso,translado,transporte
56 minutos,1 hora e 16 minutos,47 minutos,1 hora e 22 minutos,22 minutos,55 minutos,38 minutos,24,Masculino,Sim,Não,Sim,Não,5+,Sim,4g e outros diferentes meios de wi-fi.,40 minutos,Majoritariamente privado
1 h 22 min,1 h 27 min,53 mim,1 h 13 min,38 min,1 h 50 min,32 min,23,Hétero,Sim,Não,Sim,Sim,5+,Não,4g e outros diferentes meios de wi-fi.,40 min,Majoritariamente privado
56min,1h 35min,1h 39min,43min,58min,2h 58min,1h 14min,22,Masculino,Sim,Não,Sim,Não,5+,Não,4g e outros diferentes meios de wi-fi.,1h 40min,Majoritariamente público
0,0,0.85,0,0,0,0,21,M,Sim,Não,Sim,Não,5+,Não,Wi-fi,2 horas,Majoritariamente público
0.5,1,0.35,1,0.75,2,1.5,22,Masculino,Não,Não,Sim,Não,5+,Sim,4g e outros diferentes meios de wi-fi.,1 hora,Majoritariamente público
3 horas e 37 minutos,2 horas 53 mnutos,1 horas 30 minutos,3 horas  31 minutos,3 horas 11 minutos,4 horas 28 minutos,4 horas 58 minutos,23,masculino,Não,Não,Sim,Não,5+,Sim,Wi-fi,onibus,Majoritariamente público
25m,31m,52m,1h23m,1h14m,57m,1h20m,24,masculino,Sim,Não,Não,Não,5+,Não,4g e outros diferentes meios de wi-fi.,1h30m,Majoritariamente público
160 minutos,194 minutos,228 minutos,136 minutos,193 minutos,298 minutos,271 minutos,25,feminino,Não,Não,Sim,Não,5+,Não,Wi-fi,180 minutos,Majoritariamente público
3 hr,1 hr,3 hr,1:30 hr,20min,29min,1hr,22,masculino,Sim,Não,Não,Não,5+,Sim,Wi-fi,2hrs,Majoritariamente privado
1h48m,2h14m,2h46,2h00m,2h48m,2h04m,1h55m,21,Masculino,Sim,Não,Sim,Não,5+,Sim,4g e outros diferentes meios de wi-fi.,2h,Majoritariamente público
12 minutos,25 minutos,7 minutos,13 minutos,21 minutos,36 minutos,39 min,21,Masculino,Não,Não,Sim,Não,5+,Não,Wi-fi,30 minutos,Majoritariamente privado
18 minutos,10 minutos,9 minutos,0 minutos,8 minutos,5 minutos,5 minutos,22,Masculino,Sim,Não,Não,Não,5+,Sim,Wi-fi,3 horas,Majoritariamente público
2h 6m,2h 35m,2h 30m,2h 9m,1h 53m,1h 36m,1h 33m,23,Masculino,Sim,Não,Sim,Não,5+,Sim,4g e outros diferentes meios de wi-fi.,7h,Majoritariamente privado
39,43,52,38,35,21,61,23,Masculino,Sim,Não,Sim,Sim,5+,Não,4g e outros diferentes meios de wi-fi.,40,Majoritariamente privado
54 min,23 min,120 min,37 min,42 min,79 min,81 min,22 anos,Masculino,Sim,Não,Sim,Sim,5+,Não,Wi-fi,30~40 min,Majoritariamente privado
